match_id,dc_p_loss,dc_p_draw,dc_p_win,dc_lam_h,dc_lam_a
34498,0.18977706874440395,0.2729531237052947,0.5372698075503011,1.4695034825736888,0.7590449789752939
34499,0.2920485242975158,0.28760228957726136,0.4203491861252229,1.2863274835705252,1.025253219000044
34500,0.00986170208017733,0.03642494036915159,0.9537133575506712,4.2494014702885705,0.4203323427252974
34501,0.6067601349751934,0.24311841829688596,0.15012144672792052,0.7096541315537097,1.6925147798648978
34502,0.20714187473071716,0.264100847355516,0.528757277913767,1.5409861190020762,0.8637847028862019
34503,0.4873981433369199,0.40110081600615577,0.11150104065692432,0.2796444283204778,0.8772302583216238
34504,0.28928733798772466,0.32275675391038117,0.38795590810189434,1.0505195203143776,0.8651093155936582
34505,0.4973386113139122,0.31790579401610713,0.18475559466998048,0.6011891894491189,1.180763088581397
34506,0.2888673577629862,0.30809863605551296,0.4030340061815008,1.1431548846859305,0.9217702127646261
34507,0.8144687914912935,0.14198819071501403,0.04354301779369255,0.3833746369607925,2.346844385628468
34508,0.35377658031957954,0.28683535684673883,0.35938806283368174,1.1888026323583392,1.1773053351455416
34509,0.52553262425613,0.2800239272461092,0.19444344849776093,0.749277511712215,1.4164701354144653
34510,0.31268378673731906,0.2771842311773722,0.4101319820853089,1.3426821858876707,1.1385251587764365
34511,0.2388753252148156,0.3226004066008218,0.4385242681843625,1.113688757384284,0.7413837680324812
34512,0.37413790711650496,0.3274977288441216,0.29836436403937344,0.8679408863397229,1.0090583993885085
34513,0.39788508355095703,0.2689734551768695,0.3331414612721732,1.2446048366603135,1.3835444747803736
34514,0.44613404679307256,0.29723217352383063,0.25663377968309664,0.8818934313230481,1.2563373554081152
34515,0.20714187473071716,0.264100847355516,0.528757277913767,1.5409861190020762,0.8637847028862019
34516,0.1396129000560088,0.170062988747882,0.690324111196109,2.6037638876454903,1.1177394568921366
34517,0.3161002539550405,0.3316973763533209,0.3522023696916387,0.9561944354977482,0.889465573356575
34518,0.48508830065967823,0.2801842225719859,0.23472747676833566,0.8886011443316038,1.400450787834401
34519,0.5681849604028254,0.2434736623234192,0.18834137727375538,0.8878202097443127,1.7245540427025445
34520,0.3921265228797189,0.3472191728073802,0.26065430431290104,0.722304278158041,0.9570355126647913
34521,0.5113043895208358,0.2738829663807896,0.21481264409837447,0.8478534059382208,1.4590853437007887
34522,0.5906116526663289,0.24226657981581431,0.16712176751785668,0.7947486024418005,1.7188010669925793
34523,0.072043211448991,0.22534980741301044,0.7026069811379986,1.6865361706289421,0.36367241272331036
34524,0.1906276371176736,0.25771952643180784,0.5516528364505184,1.5938308511702164,0.8271512011957212
34525,0.6579389638375605,0.20759021211604534,0.1344708240463944,0.794611335688771,2.024861223537823
34526,0.21875771015871825,0.2794409958119784,0.5018012940293033,1.414277492593077,0.8376810177086403
34527,0.4926704264767974,0.29029028395647416,0.21703928956672852,0.7882785705467872,1.3355091528900607
34528,0.361905478751719,0.3498421069508557,0.2882524142974251,0.7738112992663292,0.905031988575502
34529,0.7617896240136841,0.1905512708631576,0.047659105123158435,0.2888397100156782,1.8697048352516632
34530,0.3757921416001769,0.3032425414368365,0.3209653169629866,1.0186523943978711,1.1264744289163329
34531,0.31998014609328573,0.3150861429550324,0.364933710951682,1.0491341140315706,0.9630623269611821
34532,0.5599829631526414,0.27145641772598966,0.168560619121369,0.6824075876978462,1.4771902173214249
34533,0.0684066988953689,0.176585364683176,0.7550079364214551,2.1109802310780355,0.47525995325809134
34534,0.23453690556895537,0.25052099833611646,0.5149420960949281,1.6645661109939276,1.0454069740614873
34535,0.06836590368727093,0.09791894681476411,0.8337151494979651,3.744660316645426,1.1396291421309928
34536,0.2738310665467596,0.3831855870282696,0.34298334642497064,0.7772065739040125,0.6610278103685135
34537,0.5015861613920027,0.26239443087172903,0.2360194077362681,0.9818597299439515,1.5499584251468217
34538,0.1796681978470674,0.2892114099759506,0.5311203921769821,1.3545227284043362,0.6650464390385771
34539,0.414295984405059,0.2679243555734391,0.31777966002150204,1.211272828729561,1.4186659488673803
34540,0.466376648360453,0.2706024481429243,0.26302090349662255,1.0301785928842953,1.459504795180014
34541,0.1492937068241192,0.25507434967574305,0.5956319435001376,1.591384623403047,0.6596801843432746
34542,0.5472894563784706,0.28347926339014745,0.16923128023138195,0.6453935907178278,1.3928035301475443
34543,0.11486358193836349,0.19750645596038113,0.6876299621012554,2.0820682147270393,0.7209024186131068
34544,0.18111755784474695,0.24985901861867532,0.5690234235365776,1.6595804902657176,0.8230770417805339
34545,0.5031528455046438,0.2621929931223947,0.2346541613729614,0.9779185730302565,1.5523137881578457
34546,0.3925190857125421,0.2817130413608626,0.32576787292659526,1.1446247062594122,1.2830241013801684
34547,0.32861484158552334,0.3326525978485156,0.33873256056596124,0.9288525089731646,0.910182430790406
34548,0.3678974709484667,0.2565680319242354,0.3755344971272979,1.440294185019124,1.423286822216618
34549,0.4287392109352072,0.28485373278760123,0.28640705627719154,1.024006995319591,1.315326337680277
34550,0.20048340571250256,0.2794888542175136,0.520027740069984,1.419409679976069,0.7730660906112401
34551,0.776740814668232,0.16887854975575653,0.05438063557601149,0.39054579988162474,2.110804001766142
34552,0.27804118977575976,0.2872427522429415,0.4347160579812986,1.3066948864862102,0.9883696151168813
34553,0.09955157838428962,0.1631394413193649,0.7373089802963454,2.4895225492230737,0.8144758446589696
34554,0.7043782056093271,0.2119800737054455,0.08364172068522754,0.46253974670990483,1.8267497330284699
34555,0.21797466817054134,0.22702285393344615,0.5550024778960125,1.9250867352191523,1.1333471109900186
34556,0.19470259427863565,0.3430148613322195,0.46228254438914484,1.0463305790125852,0.5710958478230844
34557,0.3550348357041919,0.452425751181485,0.19253941311432304,0.4025782432996278,0.6485106482156043
34558,0.43209528774377504,0.2826216363767582,0.28528307587946666,1.0325682304660893,1.3346646647591893
34559,0.02800391338556297,0.07261723834857477,0.8993788482658622,3.5559753154619282,0.5821521442759241
34560,0.08162096437603172,0.2513543236603298,0.6670247119636386,1.530865308626645,0.36077094639874685
34561,0.20941281497355207,0.2663779034409049,0.524209281585543,1.521551401238515,0.8618634003788949
