team_id,canonical_name,aliases,fifa_code,continent
255,KP,,,Other
256,KT,,,Other
257,KU,,,Other
258,KW,,,Other
259,KY,,,Other
260,KZ,,,Other
261,Kabylia,,,Other
262,Kazakhstan,,,Other
263,Kenya,,,Other
264,Kernow,,,Other
265,Kiribati,,,Other
266,Korea DPR,North Korea,PRK,Asia
267,Korea Republic,South Korea,KOR,Asia
268,Kosovo,,,Other
269,Kurdistan,,,Other
270,Kuwait,,,Other
271,Kyrgyz Republic,,,Other
272,Kyrgyzstan,,,Other
273,Kárpátalja,,,Other
274,LA,,,Other
275,LB,,,Other
276,LC,,,Other
277,LI,,,Other
278,LK,,,Other
279,LR,,,Other
280,LS,,,Other
281,LT,,,Other
282,LU,,,Other
283,LV,,,Other
284,LY,,,Other
285,Laos,,,Other
286,Latvia,,,Other
287,Lebanon,,,Other
288,Lesotho,,,Other
289,Liberia,,,Other
290,Libya,,,Other
291,Liechtenstein,,,Other
292,Lithuania,,,Other
293,Luhansk PR,,,Other
294,Luxembourg,,,Other
295,MC,,,Other
296,MD,,,Other
297,ME,,,Other
298,MF,,,Other
299,MG,,,Other
300,MH,,,Other
301,MK,,,Other
302,ML,,,Other
303,MM,,,Other
304,MN,,,Other
305,MO,,,Other
306,MP,,,Other
307,MQ,,,Other
308,MR,,,Other
309,MS,,,Other
310,MT,,,Other
311,MU,,,Other
312,MV,,,Other
313,MW,,,Other
314,MY,,,Other
315,MZ,,,Other
316,Macau,,,Other
317,Madagascar,,,Other
318,Madrid,,,Other
319,Malawi,,,Other
320,Malaysia,,,Other
321,Maldives,,,Other
322,Mali,,,Other
323,Malta,,,Other
324,Manchukuo,,,Other
325,Mapuche,,,Other
326,Marshall Islands,,,Other
327,Martinique,,,Other
328,Matabeleland,,,Other
329,Maule Sur,,,Other
330,Mauritania,,,Other
331,Mauritius,,,Other
332,Mayotte,,,Other
333,Menorca,,,Other
334,Mexico,,MEX,North America
335,Micronesia,,,Other
336,Moldova,,,Other
337,Monaco,,,Other
338,Mongolia,,,Other
339,Montenegro,,,Other
340,Montserrat,,,Other
341,Morocco,,MAR,Africa
342,Mozambique,,,Other
343,Myanmar,,,Other
344,NC,,,Other
345,ND,,,Other
346,NE,,,Other
347,NH,,,Other
348,NI,,,Other
349,NM,,,Other
350,NN,,,Other
351,NP,,,Other
352,NS,,,Other
353,NU,,,Other
354,NV,,,Other
355,NY,,,Other
356,Namibia,,,Other
357,Nepal,,,Other
358,Netherlands,,NED,Europe
359,Netherlands Antilles,,,Other
360,New Caledonia,,,Other
361,New Zealand,,NZL,Oceania
362,Nicaragua,,,Other
363,Niger,,,Other
364,Nigeria,,NGA,Africa
365,Niue,,,Other
366,North Macedonia,,MKD,Europe
367,North Vietnam,,,Other
368,Northern Cyprus,,,Other
369,Northern Ireland,,,Other
370,Northern Mariana Islands,,,Other
371,Norway,,NOR,Europe
372,OM,,,Other
373,OR,,,Other
374,Occitania,,,Other
375,Oman,,,Other
376,Orkney,,,Other
377,PG,,,Other
378,PH,,,Other
379,PK,,,Other
380,PM,,,Other
381,PR,,,Other
382,PS,,,Other
383,PU,,,Other
384,PW,,,Other
385,Padania,,,Other
386,Pakistan,,,Other
387,Palau,,,Other
388,Palestine,,,Other
389,Panama,,PAN,North America
390,Panjab,,,Other
391,Papua New Guinea,,,Other
392,Paraguay,,PAR,South America
393,Parishes of Jersey,,,Other
394,Peru,,PER,South America
395,Philippines,,,Other
396,Poland,,POL,Europe
397,Portugal,,POR,Europe
398,Provence,,,Other
399,Puerto Rico,,,Other
400,Qatar,,QAT,Asia
401,Quebec,,,Other
402,RB,,,Other
403,RE,,,Other
404,RG,,,Other
405,RH,,,Other
406,RM,,,Other
407,RR,,,Other
408,RV,,,Other
409,RW,,,Other
410,Raetia,,,Other
411,Republic of St. Pauli,,,Other
412,Rhodes,,,Other
413,Romani people,,,Other
414,Romania,,ROU,Europe
415,Russia,,RUS,Europe
416,Rwanda,,,Other
417,Ryūkyū,,,Other
418,Réunion,,,Other
419,SB,,,Other
420,SC,,,Other
421,SD,,,Other
422,SG,,,Other
423,SL,,,Other
424,SM,,,Other
425,SO,,,Other
426,SP,,,Other
427,SQ,,,Other
428,SR,,,Other
429,SS,,,Other
430,ST,,,Other
431,SU,,,Other
432,SV,,,Other
433,SW,,,Other
434,SX,,,Other
435,SY,,,Other
436,SZ,,,Other
437,Saare County,,,Other
438,Saarland,,,Other
439,Saint Barthélemy,,,Other
440,Saint Helena,,,Other
441,Saint Kitts and Nevis,,,Other
442,Saint Lucia,,,Other
443,Saint Martin,,,Other
444,Saint Pierre and Miquelon,,,Other
445,Saint Vincent and the Grenadines,,,Other
446,Samoa,,,Other
447,San Marino,,,Other
448,Sao Tome and Principe,,,Other
449,Sark,,,Other
450,Saudi Arabia,,KSA,Asia
451,Saugeais,,,Other
452,Scotland,,SCO,Europe
453,Sealand,,,Other
454,Seborga,,,Other
455,Senegal,,SEN,Africa
456,Serbia,Serbia and Montenegro|Yugoslavia,SRB,Europe
457,Seychelles,,,Other
458,Shetland,,,Other
459,Sierra Leone,,,Other
460,Silesia,,,Other
461,Singapore,,,Other
462,Sint Maarten,,,Other
463,Slovakia,,SVK,Europe
464,Slovenia,,SVN,Europe
465,Solomon Islands,,,Other
466,Somalia,,,Other
467,Somaliland,,,Other
468,South Africa,,RSA,Africa
469,South Ossetia,,,Other
470,South Sudan,,,Other
471,South Yemen,,,Other
472,Spain,,ESP,Europe
473,Sri Lanka,,,Other
474,St Kitts and Nevis,,,Other
475,St Lucia,,,Other
476,St Vincent and the Grenadines,,,Other
477,Sudan,,,Other
478,Suriname,,,Other
479,Surrey,,,Other
480,Sweden,,SWE,Europe
481,Switzerland,,SUI,Europe
482,Syria,,,Other
483,Székely Land,,,Other
484,Sápmi,,,Other
485,São Tomé and Príncipe,,,Other
486,TC,,,Other
487,TD,,,Other
488,TE,,,Other
489,TG,,,Other
490,TH,,,Other
491,TI,,,Other
492,TJ,,,Other
493,TL,,,Other
494,TM,,,Other
495,TO,,,Other
496,TT,,,Other
497,TV,,,Other
498,TW,,,Other
499,TY,,,Other
500,TZ,,,Other
501,Tahiti,,,Other
502,Taiwan,,,Other
503,Tajikistan,,,Other
504,Tamil Eelam,,,Other
505,Tanzania,,,Other
506,Thailand,,,Other
507,The Gambia,,,Other
508,Tibet,,,Other
509,Ticino,,,Other
510,Timor-Leste,,,Other
511,To be announced,,,Other
512,Togo,,,Other
513,Tonga,,,Other
514,Trinidad and Tobago,,,Other
515,Tunisia,,TUN,Africa
516,Turkmenistan,,,Other
517,Turks and Caicos Islands,,,Other
518,Tuvalu,,,Other
519,Two Sicilies,,,Other
520,Türkiye,Turkey,TUR,Europe
521,UG,,,Other
522,UH,,,Other
523,UM,,,Other
524,US Virgin Islands,,,Other
525,USA,United States,USA,North America
526,UT,,,Other
527,UV,,,Other
528,Uganda,,,Other
529,Ukraine,,UKR,Europe
530,United Arab Emirates,,UAE,Asia
531,United Koreans in Japan,,,Other
532,United States Virgin Islands,,,Other
533,Uruguay,,URU,South America
534,Uzbekistan,,UZB,Asia
535,VA,,,Other
536,VC,,,Other
537,VE,,,Other
538,VG,,,Other
539,VI,,,Other
540,VN,,,Other
541,VU,,,Other
542,Vanuatu,,,Other
543,Vatican City,,,Other
544,Venezuela,,VEN,South America
545,Vietnam,,,Other
546,Vietnam Republic,,,Other
547,WA,,,Other
548,WF,,,Other
549,WG,,,Other
550,WM,,,Other
551,WS,,,Other
552,Wales,,WAL,Europe
553,Wallis Islands and Futuna,,,Other
554,West Papua,,,Other
555,Western Armenia,,,Other
556,Western Australia,,,Other
557,Western Isles,,,Other
558,Western Sahara,,,Other
559,YE,,,Other
560,YT,,,Other
561,YU,,,Other
562,Yemen,,,Other
563,Yemen DPR,,,Other
564,Ynys Môn,,,Other
565,Yorkshire,,,Other
566,Yoruba Nation,,,Other
567,ZD,,,Other
568,ZM,,,Other
569,ZN,,,Other
570,ZR,,,Other
571,ZW,,,Other
572,Zambia,,,Other
573,Zanzibar,,,Other
574,Zimbabwe,,,Other
575,Åland Islands,,,Other
