match_id,home_team,away_team,ensemble_home,ensemble_draw,ensemble_away,diff_squad_overall,diff_top3_att,diff_squad_caps
1,Mexico,South Africa,0.49977230405127004,0.25,0.25022769594872996,1.7560000000000002,9.0,728.0
2,Korea Republic,Czechia,0.276163802555241,0.25000000000000006,0.4738361974447591,-1.950641025641005,-5.0,238.0
3,Canada,Bosnia and Herzegovina,0.28667435751451176,0.25,0.46332564248548824,-1.4564999999999984,-5.3333333333333215,354.0
4,USA,Paraguay,0.3860782231644111,0.25,0.3639217768355889,0.9267692307692315,1.3333333333333215,270.0
8,Qatar,Switzerland,0.19194115801948242,0.25,0.5580588419805176,-6.949000000000005,-7.333333333333343,307.0
7,Brazil,Morocco,0.5825981144208718,0.25,0.16740188557912813,5.667948717948718,16.0,226.0
5,Haiti,Scotland,0.20584287837062618,0.25,0.5441571216293738,-3.5726086956521783,-7.0,-356.0
6,Australia,Türkiye,0.17824905204355856,0.25,0.5717509479564415,-3.941666666666663,-10.666666666666679,-234.0
10,Germany,Curaçao,0.5846231293884818,0.25,0.1653768706115182,12.473666666666674,5.666666666666657,248.0
11,Netherlands,Japan,0.3418629022735906,0.25,0.4081370977264094,2.8333333333333357,-4.6666666666666785,50.0
9,Côte d'Ivoire,Ecuador,0.3632815988484659,0.25,0.3867184011515341,1.6461538461538368,0.0,-79.0
12,Sweden,Tunisia,0.4997528212201256,0.25,0.2502471787798744,2.9834285714285684,11.666666666666664,-68.0
14,Spain,Cabo Verde,0.5396999195685872,0.25,0.21030008043141285,12.917230769230777,1.0,-79.0
16,Belgium,Egypt,0.46921550552849234,0.25,0.28078449447150766,7.474833333333336,-0.3333333333333215,249.0
13,Saudi Arabia,Uruguay,0.2233620796866132,0.25,0.5266379203133869,-4.930769230769236,-4.0,-149.0
15,IR Iran,New Zealand,0.5120325509423915,0.25,0.2379674490576085,3.3726153846153935,10.333333333333343,298.0
17,France,Senegal,0.5324919383054297,0.25,0.21750806169457026,4.573846153846162,13.666666666666671,-195.0
18,Iraq,Norway,0.13836945091855718,0.25,0.6116305490814428,-6.524038461538467,-13.666666666666657,-39.0
19,Argentina,Algeria,0.5663843239822457,0.25,0.1836156760177543,5.626254180602011,12.333333333333336,492.0
20,Austria,Jordan,0.6228714744543069,0.25,0.12712852554569312,6.491999999999997,21.5,136.0
23,Portugal,Congo DR,0.5821452323949736,0.25,0.16785476760502635,8.92351046698873,10.0,386.0
22,England,Croatia,0.4666317318915302,0.25,0.2833682681084698,2.9407692307692272,9.666666666666671,-323.0
21,Ghana,Panama,0.2601192564236136,0.25,0.48988074357638633,0.2632850241545839,-3.0,-1004.0
24,Uzbekistan,Colombia,0.18017815601165807,0.25,0.5698218439883419,-5.635347985347991,-9.0,-24.0
25,Czechia,South Africa,0.5227815387836139,0.25,0.22721846121638606,3.5663333333333256,11.666666666666664,227.0
26,Switzerland,Bosnia and Herzegovina,0.3605468846741799,0.25,0.38945311532582005,3.500000000000007,-6.666666666666657,539.0
27,Canada,Qatar,0.4328833896451429,0.25,0.3171166103548571,1.9924999999999997,8.666666666666679,-492.0
28,Mexico,Korea Republic,0.3834889415370998,0.25,0.3665110584629002,0.1403076923076796,2.3333333333333357,263.0
32,USA,Australia,0.46104085812782303,0.25,0.28895914187217697,1.6141025641025593,8.0,224.0
30,Scotland,Morocco,0.43496541900986196,0.25,0.31503458099013804,-1.576666666666668,10.0,272.0
29,Brazil,Haiti,0.6179825319491823,0.25,0.13201746805081777,10.817224080267565,13.0,310.0
31,Türkiye,Paraguay,0.4497914139861878,0.25,0.3002085860138122,3.254333333333335,4.0,280.0
35,Netherlands,Sweden,0.3217370288582387,0.25,0.4282629711417613,3.4880000000000067,-9.333333333333343,341.0
33,Germany,Côte d'Ivoire,0.4454879796486914,0.25,0.3045120203513086,6.462769230769233,-0.6666666666666785,155.0
34,Ecuador,Curaçao,0.4828136265218672,0.25,0.2671863734781328,4.364743589743604,6.333333333333336,172.0
36,Tunisia,Japan,0.2112863356481311,0.25,0.538713664351869,-3.6380952380952394,-7.0,-223.0
38,Spain,Saudi Arabia,0.5114348280402369,0.25,0.23856517195976315,11.600000000000009,-0.3333333333333215,-66.0
39,Belgium,IR Iran,0.37700048132061026,0.25,0.37299951867938974,7.319384615384614,-7.666666666666664,-34.0
37,Uruguay,Cabo Verde,0.4985574511450862,0.25,0.2514425488549138,6.248000000000005,5.3333333333333215,136.0
40,New Zealand,Egypt,0.2629225007695729,0.25,0.4870774992304271,-3.217166666666671,-3.0,-15.0
43,Argentina,Austria,0.49339611923624827,0.25,0.25660388076375173,5.873384615384616,4.833333333333336,226.0
42,France,Iraq,0.6555259601236225,0.25,0.09447403987637748,11.516346153846158,20.66666666666667,40.0
41,Norway,Senegal,0.3921078326336789,0.25,0.3578921673663211,-0.41846153846152845,6.666666666666657,-196.0
44,Jordan,Algeria,0.14025172462178018,0.25,0.6097482753782199,-6.739130434782602,-14.0,130.0
47,Portugal,Uzbekistan,0.6014549838291097,0.25,0.1485450161708904,10.13862433862434,12.333333333333321,146.0
45,England,Ghana,0.6377487573503111,0.25,0.11225124264968886,9.628595317725747,18.66666666666667,259.0
46,Panama,Croatia,0.20788320972281274,0.25,0.5421167902771873,-6.9511111111111035,-6.0,422.0
48,Colombia,Congo DR,0.4916445801995988,0.25,0.2583554198004012,4.420234113712382,6.6666666666666785,264.0
51,Switzerland,Canada,0.41727038495010604,0.25,0.33272961504989396,4.9565000000000055,-1.3333333333333357,185.0
52,Bosnia and Herzegovina,Qatar,0.4867633321601068,0.25,0.2632366678398932,3.448999999999998,14.0,-846.0
49,Scotland,Brazil,0.18715409522048093,0.25,0.5628459047795191,-7.244615384615386,-6.0,46.0
50,Morocco,Haiti,0.3974484253657527,0.25,0.3525515746342473,5.149275362318846,-3.0,84.0
53,Czechia,Mexico,0.36842184586006976,0.25,0.3815781541399302,1.8103333333333254,2.6666666666666643,-501.0
54,South Africa,Korea Republic,0.22883639029435623,0.25,0.5211636097056438,-1.6156923076923206,-6.666666666666664,-465.0
55,Curaçao,Côte d'Ivoire,0.19314864229342182,0.25,0.5568513577065781,-6.010897435897441,-6.333333333333336,-93.0
56,Ecuador,Germany,0.22495025602273164,0.25,0.5250497439772683,-8.10892307692307,0.6666666666666785,-76.0
57,Japan,Sweden,0.3218538514538045,0.25,0.4281461485461954,0.654666666666671,-4.666666666666664,291.0
58,Tunisia,Netherlands,0.21138284854527684,0.25,0.5386171514547231,-6.471428571428575,-2.3333333333333215,-273.0
59,Türkiye,USA,0.4065467406436066,0.25,0.3434532593563934,2.3275641025641036,2.6666666666666785,10.0
60,Paraguay,Australia,0.4182213506597952,0.25,0.3317786493402048,0.6873333333333278,6.6666666666666785,-46.0
61,Norway,France,0.20458191182794844,0.25,0.5454180881720516,-4.992307692307691,-7.000000000000014,-1.0
62,Senegal,Iraq,0.5278131234465325,0.25,0.22218687655346744,6.9424999999999955,7.0,235.0
65,Cabo Verde,Saudi Arabia,0.3088629976976372,0.25,0.44113700230236286,-1.3172307692307683,-1.3333333333333215,13.0
66,Uruguay,Spain,0.2947836654889241,0.25,0.4552163345110759,-6.669230769230772,4.3333333333333215,215.0
63,Egypt,IR Iran,0.25230263719625434,0.25,0.49769736280374566,-0.1554487179487225,-7.333333333333343,-283.0
64,New Zealand,Belgium,0.15979274220074677,0.25,0.5902072577992532,-10.692000000000007,-2.6666666666666785,-264.0
