raw_name,canonical_name,team_id
Kurdistan,Kurdistan,269
Kuwait,Kuwait,270
Kyrgyz Republic,Kyrgyz Republic,271
Kyrgyzstan,Kyrgyzstan,272
Kárpátalja,Kárpátalja,273
LA,LA,274
LB,LB,275
LC,LC,276
LI,LI,277
LK,LK,278
LR,LR,279
LS,LS,280
LT,LT,281
LU,LU,282
LV,LV,283
LY,LY,284
Laos,Laos,285
Latvia,Latvia,286
Lebanon,Lebanon,287
Lesotho,Lesotho,288
Liberia,Liberia,289
Libya,Libya,290
Liechtenstein,Liechtenstein,291
Lithuania,Lithuania,292
Luhansk PR,Luhansk PR,293
Luxembourg,Luxembourg,294
MC,MC,295
MD,MD,296
ME,ME,297
MF,MF,298
MG,MG,299
MH,MH,300
MK,MK,301
ML,ML,302
MM,MM,303
MN,MN,304
MO,MO,305
MP,MP,306
MQ,MQ,307
MR,MR,308
MS,MS,309
MT,MT,310
MU,MU,311
MV,MV,312
MW,MW,313
MY,MY,314
MZ,MZ,315
Macau,Macau,316
Madagascar,Madagascar,317
Madrid,Madrid,318
Malawi,Malawi,319
Malaysia,Malaysia,320
Maldives,Maldives,321
Mali,Mali,322
Malta,Malta,323
Manchukuo,Manchukuo,324
Mapuche,Mapuche,325
Marshall Islands,Marshall Islands,326
Martinique,Martinique,327
Matabeleland,Matabeleland,328
Maule Sur,Maule Sur,329
Mauritania,Mauritania,330
Mauritius,Mauritius,331
Mayotte,Mayotte,332
Menorca,Menorca,333
Mexico,Mexico,334
Micronesia,Micronesia,335
Moldova,Moldova,336
Monaco,Monaco,337
Mongolia,Mongolia,338
Montenegro,Montenegro,339
Montserrat,Montserrat,340
Morocco,Morocco,341
Mozambique,Mozambique,342
Myanmar,Myanmar,343
NC,NC,344
ND,ND,345
NE,NE,346
NH,NH,347
NI,NI,348
NM,NM,349
NN,NN,350
NP,NP,351
NS,NS,352
NU,NU,353
NV,NV,354
NY,NY,355
Namibia,Namibia,356
Nepal,Nepal,357
Netherlands,Netherlands,358
Netherlands Antilles,Netherlands Antilles,359
New Caledonia,New Caledonia,360
New Zealand,New Zealand,361
Nicaragua,Nicaragua,362
Niger,Niger,363
Nigeria,Nigeria,364
Niue,Niue,365
North Korea,Korea DPR,266
North Macedonia,North Macedonia,366
North Vietnam,North Vietnam,367
Northern Cyprus,Northern Cyprus,368
Northern Ireland,Northern Ireland,369
Northern Mariana Islands,Northern Mariana Islands,370
Norway,Norway,371
OM,OM,372
OR,OR,373
Occitania,Occitania,374
Oman,Oman,375
Orkney,Orkney,376
PG,PG,377
PH,PH,378
PK,PK,379
PM,PM,380
PR,PR,381
PS,PS,382
PU,PU,383
PW,PW,384
Padania,Padania,385
Pakistan,Pakistan,386
Palau,Palau,387
Palestine,Palestine,388
Panama,Panama,389
Panjab,Panjab,390
Papua New Guinea,Papua New Guinea,391
Paraguay,Paraguay,392
Parishes of Jersey,Parishes of Jersey,393
Peru,Peru,394
Philippines,Philippines,395
Poland,Poland,396
Portugal,Portugal,397
Provence,Provence,398
Puerto Rico,Puerto Rico,399
Qatar,Qatar,400
Quebec,Quebec,401
RB,RB,402
RE,RE,403
RG,RG,404
RH,RH,405
RM,RM,406
RR,RR,407
RV,RV,408
RW,RW,409
Raetia,Raetia,410
Republic of Ireland,Ireland,236
Republic of St. Pauli,Republic of St. Pauli,411
