ts,source,status,rows,url,note
2026-06-02T12:29:51.189864+00:00,elo,ok,144,https://www.eloratings.net/1958.tsv,
2026-06-02T12:29:53.137675+00:00,elo,ok,147,https://www.eloratings.net/1959.tsv,
2026-06-02T12:29:54.976760+00:00,elo,ok,150,https://www.eloratings.net/1960.tsv,
2026-06-02T12:29:57.126601+00:00,elo,ok,155,https://www.eloratings.net/1961.tsv,
2026-06-02T12:29:58.930305+00:00,elo,ok,156,https://www.eloratings.net/1962.tsv,
2026-06-02T12:30:00.710134+00:00,elo,ok,159,https://www.eloratings.net/1963.tsv,
2026-06-02T12:30:02.584265+00:00,elo,ok,160,https://www.eloratings.net/1964.tsv,
2026-06-02T12:30:04.423417+00:00,elo,ok,164,https://www.eloratings.net/1965.tsv,
2026-06-02T12:30:06.542906+00:00,elo,ok,170,https://www.eloratings.net/1966.tsv,
2026-06-02T12:30:08.208904+00:00,elo,ok,171,https://www.eloratings.net/1967.tsv,
2026-06-02T12:30:10.369584+00:00,elo,ok,173,https://www.eloratings.net/1968.tsv,
2026-06-02T12:30:12.047037+00:00,elo,ok,173,https://www.eloratings.net/1969.tsv,
2026-06-02T12:30:13.938171+00:00,elo,ok,174,https://www.eloratings.net/1970.tsv,
2026-06-02T12:30:16.100979+00:00,elo,ok,177,https://www.eloratings.net/1971.tsv,
2026-06-02T12:30:18.253156+00:00,elo,ok,180,https://www.eloratings.net/1972.tsv,
2026-06-02T12:30:20.295928+00:00,elo,ok,180,https://www.eloratings.net/1973.tsv,
2026-06-02T12:30:22.484631+00:00,elo,ok,182,https://www.eloratings.net/1974.tsv,
2026-06-02T12:30:24.514551+00:00,elo,ok,182,https://www.eloratings.net/1975.tsv,
2026-06-02T12:30:26.430707+00:00,elo,ok,183,https://www.eloratings.net/1976.tsv,
2026-06-02T12:30:28.418793+00:00,elo,ok,183,https://www.eloratings.net/1977.tsv,
2026-06-02T12:30:30.093247+00:00,elo,ok,183,https://www.eloratings.net/1978.tsv,
2026-06-02T12:30:31.854991+00:00,elo,ok,189,https://www.eloratings.net/1979.tsv,
2026-06-02T12:30:34.017419+00:00,elo,ok,190,https://www.eloratings.net/1980.tsv,
2026-06-02T12:30:35.065286+00:00,fifa_rankings,ok,67261,kaggle:cashncarry/fifaworldranking,
2026-06-02T12:30:35.473311+00:00,fifa_rankings,fail,0,https://en.wikipedia.org/wiki/FIFA_World_Rankings,HTTP Error 403: Forbidden
