2026-06-02 17:59:41,710 | INFO    | s02_elo            | 1953: 129 teams
2026-06-02 17:59:43,737 | INFO    | s02_elo            | 1954: 136 teams
2026-06-02 17:59:45,307 | INFO    | s02_elo            | 1955: 136 teams
2026-06-02 17:59:46,893 | INFO    | s02_elo            | 1956: 141 teams
2026-06-02 17:59:48,963 | INFO    | s02_elo            | 1957: 143 teams
2026-06-02 17:59:51,190 | INFO    | s02_elo            | 1958: 144 teams
2026-06-02 17:59:53,137 | INFO    | s02_elo            | 1959: 147 teams
2026-06-02 17:59:54,976 | INFO    | s02_elo            | 1960: 150 teams
2026-06-02 17:59:57,126 | INFO    | s02_elo            | 1961: 155 teams
2026-06-02 17:59:58,930 | INFO    | s02_elo            | 1962: 156 teams
2026-06-02 18:00:00,710 | INFO    | s02_elo            | 1963: 159 teams
2026-06-02 18:00:02,584 | INFO    | s02_elo            | 1964: 160 teams
2026-06-02 18:00:04,423 | INFO    | s02_elo            | 1965: 164 teams
2026-06-02 18:00:06,543 | INFO    | s02_elo            | 1966: 170 teams
2026-06-02 18:00:08,209 | INFO    | s02_elo            | 1967: 171 teams
2026-06-02 18:00:10,369 | INFO    | s02_elo            | 1968: 173 teams
2026-06-02 18:00:12,047 | INFO    | s02_elo            | 1969: 173 teams
2026-06-02 18:00:13,938 | INFO    | s02_elo            | 1970: 174 teams
2026-06-02 18:00:16,101 | INFO    | s02_elo            | 1971: 177 teams
2026-06-02 18:00:18,253 | INFO    | s02_elo            | 1972: 180 teams
2026-06-02 18:00:20,296 | INFO    | s02_elo            | 1973: 180 teams
2026-06-02 18:00:22,484 | INFO    | s02_elo            | 1974: 182 teams
2026-06-02 18:00:24,514 | INFO    | s02_elo            | 1975: 182 teams
2026-06-02 18:00:26,430 | INFO    | s02_elo            | 1976: 183 teams
2026-06-02 18:00:28,418 | INFO    | s02_elo            | 1977: 183 teams
2026-06-02 18:00:30,093 | INFO    | s02_elo            | 1978: 183 teams
2026-06-02 18:00:31,855 | INFO    | s02_elo            | 1979: 189 teams
2026-06-02 18:00:34,017 | INFO    | s02_elo            | 1980: 190 teams
2026-06-02 18:00:35,169 | INFO    | common             | wrote  67261 rows -> fifa_wc_data\raw\fifa_rankings\fifa_rankings.csv
2026-06-02 18:00:35,176 | INFO    | s03_fifa           | fifa rankings: 67261 rows, 216 teams, 1992-12-31..2024-04-04
2026-06-02 18:00:35,472 | WARNING | s03_fifa           | wikipedia fifa ranking failed: HTTP Error 403: Forbidden
2026-06-02 18:00:35,474 | INFO    | s03_fifa           | stage 03 (fifa rankings) complete
2026-06-02 18:00:35,926 | INFO    | s02_elo            | 1981: 191 teams
2026-06-02 18:00:37,148 | INFO    | common             | wrote    104 rows -> fifa_wc_data\raw\worldcup\wc2026_fixtures.csv
2026-06-02 18:00:37,157 | INFO    | common             | wrote     49 rows -> fifa_wc_data\raw\worldcup\wc2026_qualified_teams.csv
2026-06-02 18:00:37,157 | INFO    | s04_wc             | WC2026 qualified teams parsed: 49
2026-06-02 18:00:37,164 | INFO    | common             | wrote    900 rows -> fifa_wc_data\raw\worldcup\wc_matches_history.csv
2026-06-02 18:00:37,168 | INFO    | common             | wrote     21 rows -> fifa_wc_data\raw\worldcup\wc_tournaments.csv
2026-06-02 18:00:37,200 | INFO    | common             | wrote    248 rows -> fifa_wc_data\raw\worldcup\squad_female_players_16.csv
2026-06-02 18:00:37,235 | INFO    | common             | wrote    299 rows -> fifa_wc_data\raw\worldcup\squad_female_players_17.csv
2026-06-02 18:00:37,269 | INFO    | common             | wrote    317 rows -> fifa_wc_data\raw\worldcup\squad_female_players_18.csv
2026-06-02 18:00:37,307 | INFO    | common             | wrote    299 rows -> fifa_wc_data\raw\worldcup\squad_female_players_19.csv
2026-06-02 18:00:37,346 | INFO    | common             | wrote    345 rows -> fifa_wc_data\raw\worldcup\squad_female_players_20.csv
2026-06-02 18:00:37,386 | INFO    | common             | wrote    345 rows -> fifa_wc_data\raw\worldcup\squad_female_players_21.csv
2026-06-02 18:00:37,425 | INFO    | common             | wrote    391 rows -> fifa_wc_data\raw\worldcup\squad_female_players_22.csv
2026-06-02 18:00:37,906 | INFO    | s02_elo            | 1982: 192 teams
2026-06-02 18:00:37,973 | INFO    | common             | wrote  16155 rows -> fifa_wc_data\raw\worldcup\squad_players_15.csv
2026-06-02 18:00:38,475 | INFO    | common             | wrote  15623 rows -> fifa_wc_data\raw\worldcup\squad_players_16.csv
2026-06-02 18:00:39,088 | INFO    | common             | wrote  17596 rows -> fifa_wc_data\raw\worldcup\squad_players_17.csv
2026-06-02 18:00:39,697 | INFO    | common             | wrote  17954 rows -> fifa_wc_data\raw\worldcup\squad_players_18.csv
2026-06-02 18:00:39,718 | INFO    | s02_elo            | 1983: 194 teams
2026-06-02 18:00:40,307 | INFO    | common             | wrote  18085 rows -> fifa_wc_data\raw\worldcup\squad_players_19.csv
2026-06-02 18:00:41,086 | INFO    | common             | wrote  18483 rows -> fifa_wc_data\raw\worldcup\squad_players_20.csv
2026-06-02 18:00:41,979 | INFO    | s02_elo            | 1984: 194 teams
2026-06-02 18:00:42,019 | INFO    | common             | wrote  18944 rows -> fifa_wc_data\raw\worldcup\squad_players_21.csv
2026-06-02 18:00:42,823 | INFO    | common             | wrote  19239 rows -> fifa_wc_data\raw\worldcup\squad_players_22.csv
2026-06-02 18:00:42,971 | INFO    | common             | wrote   3196 rows -> fifa_wc_data\raw\worldcup\squad_female_players (legacy).csv
2026-06-02 18:00:44,305 | INFO    | s02_elo            | 1985: 197 teams
2026-06-02 18:00:46,267 | INFO    | s02_elo            | 1986: 197 teams
2026-06-02 18:00:48,317 | INFO    | s02_elo            | 1987: 198 teams
2026-06-02 18:00:49,382 | INFO    | common             | wrote 181361 rows -> fifa_wc_data\raw\worldcup\squad_female_players.csv
2026-06-02 18:00:50,589 | INFO    | s02_elo            | 1988: 199 teams
2026-06-02 18:00:52,775 | INFO    | s02_elo            | 1989: 200 teams
2026-06-02 18:00:54,458 | INFO    | s02_elo            | 1990: 201 teams
2026-06-02 18:00:56,028 | INFO    | common             | wrote 161583 rows -> fifa_wc_data\raw\worldcup\squad_male_players (legacy).csv
2026-06-02 18:00:56,700 | INFO    | s02_elo            | 1991: 210 teams
2026-06-02 18:00:58,640 | INFO    | s02_elo            | 1992: 217 teams
2026-06-02 18:01:00,637 | INFO    | s02_elo            | 1993: 220 teams
2026-06-02 18:01:02,484 | INFO    | s02_elo            | 1994: 222 teams
2026-06-02 18:01:04,880 | INFO    | s02_elo            | 1995: 222 teams
2026-06-02 18:01:07,527 | INFO    | s02_elo            | 1996: 223 teams
2026-06-02 18:01:09,603 | INFO    | s02_elo            | 1997: 223 teams
2026-06-02 18:01:11,759 | INFO    | s02_elo            | 1998: 226 teams
2026-06-02 18:01:14,184 | INFO    | s02_elo            | 1999: 228 teams
2026-06-02 18:01:16,325 | INFO    | s02_elo            | 2000: 229 teams
2026-06-02 18:01:18,653 | INFO    | s02_elo            | 2001: 231 teams
2026-06-02 18:01:20,963 | INFO    | s02_elo            | 2002: 231 teams
2026-06-02 18:01:23,186 | INFO    | s02_elo            | 2003: 232 teams
2026-06-02 18:01:25,710 | INFO    | s02_elo            | 2004: 234 teams
2026-06-02 18:01:27,919 | INFO    | s02_elo            | 2005: 234 teams
2026-06-02 18:01:30,000 | INFO    | s02_elo            | 2006: 235 teams
2026-06-02 18:01:32,063 | INFO    | s02_elo            | 2007: 235 teams
2026-06-02 18:01:34,484 | INFO    | s02_elo            | 2008: 235 teams
2026-06-02 18:01:36,564 | INFO    | s02_elo            | 2009: 235 teams
2026-06-02 18:01:38,821 | INFO    | s02_elo            | 2010: 237 teams
2026-06-02 18:01:41,319 | INFO    | s02_elo            | 2011: 237 teams
2026-06-02 18:01:43,893 | INFO    | s02_elo            | 2012: 240 teams
2026-06-02 18:01:46,319 | INFO    | s02_elo            | 2013: 240 teams
2026-06-02 18:01:48,828 | INFO    | s02_elo            | 2014: 242 teams
2026-06-02 18:01:51,011 | INFO    | s02_elo            | 2015: 243 teams
2026-06-02 18:01:53,075 | INFO    | s02_elo            | 2016: 243 teams
2026-06-02 18:01:55,033 | INFO    | s02_elo            | 2017: 243 teams
2026-06-02 18:01:57,003 | INFO    | s02_elo            | 2018: 243 teams
2026-06-02 18:01:59,433 | INFO    | s02_elo            | 2019: 243 teams
2026-06-02 18:02:01,746 | INFO    | s02_elo            | 2020: 243 teams
2026-06-02 18:02:04,012 | INFO    | s02_elo            | 2021: 243 teams
2026-06-02 18:02:06,450 | INFO    | s02_elo            | 2022: 243 teams
2026-06-02 18:02:09,040 | INFO    | s02_elo            | 2023: 242 teams
2026-06-02 18:02:11,282 | INFO    | s02_elo            | 2024: 242 teams
2026-06-02 18:02:13,821 | INFO    | s02_elo            | 2025: 243 teams
2026-06-02 18:02:16,364 | INFO    | s02_elo            | current: 243 teams
2026-06-02 18:02:16,671 | INFO    | common             | wrote  18142 rows -> fifa_wc_data\raw\elo\elo_ratings.csv
2026-06-02 18:02:16,676 | INFO    | s02_elo            | stage 02 (elo) complete: 18142 rows, 296 teams, 1901-12-31..2026-06-02
2026-06-02 18:07:53,189 | INFO    | s04_wc             | WC squad tables surfaced: 18
2026-06-02 18:07:53,581 | INFO    | s04_wc             | stage 04 (worldcup) complete
2026-06-02 18:08:41,246 | WARNING | common             | HTTP 300 on https://www.football-data.co.uk/internationals.php
2026-06-02 18:08:41,248 | INFO    | s05_fdata          | football-data: discovered 0 csv links
2026-06-02 18:08:41,248 | WARNING | s05_fdata          | football-data: no international odds CSVs available (site publishes club leagues only) -- odds table left empty
2026-06-02 18:08:41,257 | INFO    | s05_fdata          | stage 05 (football-data) complete
2026-06-02 18:08:43,019 | WARNING | common             | HTTP 404 on https://www.transfermarkt.com/weltmeisterschaft-2026/teilnehmer/pokalwettbewerb/WM26
2026-06-02 18:08:43,021 | WARNING | s07_tm             | Transfermarkt blocked from this host (anti-bot). Squad market values fall back to FIFA-game value_eur (stage 08). Re-run on a residential IP / with Selenium to populate the live TM tables.
2026-06-02 18:14:39,050 | INFO    | s09_features       | canonical matches: 49353 (1872-11-30..2026-06-27)
2026-06-02 18:14:39,288 | INFO    | common             | wrote  49353 rows -> fifa_wc_data\processed\matches.csv
