team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Belgium,15,Seattle Stadium,7944.07,-8,71.842,3.0,0
Belgium,16,Toronto Stadium,6028.69,-5,43.522,85.0,0
Bosnia and Herzegovina,1,Atlanta Stadium,8382.6,-7,63.238,290.0,0
Bosnia and Herzegovina,2,BC Place Vancouver,9004.47,-9,81.95,11.0,0
Bosnia and Herzegovina,3,Boston Stadium,6908.75,-6,53.044,83.0,0
Bosnia and Herzegovina,4,Dallas Stadium,9258.84,-7,63.934,149.0,0
Bosnia and Herzegovina,5,Guadalajara Stadium,10712.76,-8,74.234,1566.0,0
Bosnia and Herzegovina,6,Houston Stadium,9432.85,-7,64.064,15.0,0
Bosnia and Herzegovina,7,Kansas City Stadium,8603.48,-7,63.42,273.0,0
Bosnia and Herzegovina,8,Los Angeles Stadium,10290.06,-9,83.151,247.0,0
Bosnia and Herzegovina,9,Mexico City Stadium,10555.35,-8,74.116,2287.0,0
Bosnia and Herzegovina,10,Miami Stadium,8697.1,-6,54.425,12.0,0
Bosnia and Herzegovina,11,Monterrey Stadium,10083.0,-8,73.75,549.0,0
Bosnia and Herzegovina,12,New York/New Jersey Stadium,7181.59,-6,53.276,9.0,0
Bosnia and Herzegovina,13,Philadelphia Stadium,7315.69,-6,53.387,1.0,0
Bosnia and Herzegovina,14,San Francisco Bay Area Stadium,10137.52,-9,83.017,1.0,0
Bosnia and Herzegovina,15,Seattle Stadium,9144.65,-9,82.089,3.0,0
Bosnia and Herzegovina,16,Toronto Stadium,7337.16,-6,53.405,85.0,0
Brazil,1,Atlanta Stadium,6733.14,-3,26.445,290.0,0
Brazil,2,BC Place Vancouver,10301.82,-5,46.201,11.0,0
Brazil,3,Boston Stadium,6868.75,-2,17.67,83.0,0
Brazil,4,Dallas Stadium,7491.26,-3,26.765,149.0,0
Brazil,5,Guadalajara Stadium,7285.63,-4,35.575,1566.0,0
Brazil,6,Houston Stadium,7177.55,-3,26.637,15.0,0
Brazil,7,Kansas City Stadium,7783.69,-3,26.88,273.0,0
Brazil,8,Los Angeles Stadium,9267.83,-5,45.672,247.0,0
Brazil,9,Mexico City Stadium,6830.02,-4,35.317,2287.0,0
Brazil,10,Miami Stadium,5795.54,-2,17.33,12.0,0
Brazil,11,Monterrey Stadium,7311.41,-4,35.589,549.0,0
Brazil,12,New York/New Jersey Stadium,6849.81,-2,17.664,9.0,0
Brazil,13,Philadelphia Stadium,6812.41,-2,17.653,1.0,0
Brazil,14,San Francisco Bay Area Stadium,9725.01,-5,45.913,1.0,0
Brazil,15,Seattle Stadium,10178.81,-5,46.141,3.0,0
Brazil,16,Toronto Stadium,7345.52,-2,17.804,85.0,0
Cabo Verde,1,Atlanta Stadium,6419.13,-4,35.069,290.0,0
Cabo Verde,2,BC Place Vancouver,9433.94,-6,54.913,11.0,0
Cabo Verde,3,Boston Stadium,5460.61,-3,25.816,83.0,0
Cabo Verde,4,Dallas Stadium,7568.92,-4,35.728,149.0,0
Cabo Verde,5,Guadalajara Stadium,8395.2,-5,45.178,1566.0,0
Cabo Verde,6,Houston Stadium,7467.18,-4,35.674,15.0,0
Cabo Verde,7,Kansas City Stadium,7338.5,-4,35.604,273.0,0
Cabo Verde,8,Los Angeles Stadium,9499.9,-6,54.955,247.0,0
Cabo Verde,9,Mexico City Stadium,7991.09,-5,44.931,2287.0,0
Cabo Verde,10,Miami Stadium,5987.58,-3,26.093,12.0,0
Cabo Verde,11,Monterrey Stadium,7997.11,-5,44.935,549.0,0
Cabo Verde,12,New York/New Jersey Stadium,5642.5,-3,25.915,9.0,0
Cabo Verde,13,Philadelphia Stadium,5709.75,-3,25.95,1.0,0
Cabo Verde,14,San Francisco Bay Area Stadium,9730.88,-6,55.099,1.0,0
