rank,team,country_code,points,previous_points,confederation,rank_date,source
107.0,New Zealand,NZL,1197.68,1197.68,OFC,2024-06-20,kaggle_cashncarry
108.0,Kenya,KEN,1195.45,1191.24,CAF,2024-06-20,kaggle_cashncarry
109.0,Kazakhstan,KAZ,1193.62,1203.64,UEFA,2024-06-20,kaggle_cashncarry
110.0,Korea DPR,PRK,1183.96,1160.57,AFC,2024-06-20,kaggle_cashncarry
111.0,Azerbaijan,AZE,1179.88,1177.83,UEFA,2024-06-20,kaggle_cashncarry
112.0,Mauritania,MTN,1177.5,1195.5,CAF,2024-06-20,kaggle_cashncarry
113.0,Congo,CGO,1176.45,1179.8,CAF,2024-06-20,kaggle_cashncarry
114.0,Tanzania,TAN,1174.99,1159.81,CAF,2024-06-20,kaggle_cashncarry
115.0,Guinea-Bissau,GNB,1168.49,1163.44,CAF,2024-06-20,kaggle_cashncarry
116.0,Vietnam,VIE,1168.02,1164.54,AFC,2024-06-20,kaggle_cashncarry
117.0,Lebanon,LBN,1167.64,1158.96,AFC,2024-06-20,kaggle_cashncarry
118.0,Libya,LBY,1165.73,1166.71,CAF,2024-06-20,kaggle_cashncarry
119.0,Comoros,COM,1158.71,1163.02,CAF,2024-06-20,kaggle_cashncarry
120.0,Togo,TOG,1158.7,1170.34,CAF,2024-06-20,kaggle_cashncarry
121.0,Sudan,SDN,1152.29,1129.32,CAF,2024-06-20,kaggle_cashncarry
122.0,Sierra Leone,SLE,1149.4,1137.36,CAF,2024-06-20,kaggle_cashncarry
123.0,Estonia,EST,1146.47,1141.13,UEFA,2024-06-20,kaggle_cashncarry
124.0,India,IND,1139.39,1145.94,AFC,2024-06-20,kaggle_cashncarry
125.0,Malawi,MWI,1137.83,1140.93,CAF,2024-06-20,kaggle_cashncarry
126.0,Cyprus,CYP,1136.78,1141.03,UEFA,2024-06-20,kaggle_cashncarry
127.0,Central African Republic,CTA,1129.3,1128.17,CAF,2024-06-20,kaggle_cashncarry
128.0,Niger,NIG,1125.5,1125.5,CAF,2024-06-20,kaggle_cashncarry
129.0,Zimbabwe,ZIM,1122.54,1143.66,CAF,2024-06-20,kaggle_cashncarry
130.0,Nicaragua,NCA,1119.88,1102.54,CONCACAF,2024-06-20,kaggle_cashncarry
131.0,Rwanda,RWA,1114.15,1112.44,CAF,2024-06-20,kaggle_cashncarry
132.0,The Gambia,GAM,1112.55,1114.8,CAF,2024-06-20,kaggle_cashncarry
133.0,Solomon Islands,SOL,1111.02,1111.02,OFC,2024-06-20,kaggle_cashncarry
134.0,Indonesia,IDN,1108.73,1102.7,AFC,2024-06-20,kaggle_cashncarry
135.0,Malaysia,MAS,1107.58,1094.54,AFC,2024-06-20,kaggle_cashncarry
136.0,Lithuania,LTU,1100.66,1095.23,UEFA,2024-06-20,kaggle_cashncarry
137.0,Kuwait,KUW,1098.42,1085.46,AFC,2024-06-20,kaggle_cashncarry
138.0,Latvia,LVA,1095.98,1095.91,UEFA,2024-06-20,kaggle_cashncarry
139.0,Faroe Islands,FRO,1093.7,1103.43,UEFA,2024-06-20,kaggle_cashncarry
140.0,Burundi,BDI,1091.24,1081.63,CAF,2024-06-20,kaggle_cashncarry
141.0,Suriname,SUR,1087.77,1071.85,CONCACAF,2024-06-20,kaggle_cashncarry
142.0,Liberia,LBR,1067.05,1029.58,CAF,2024-06-20,kaggle_cashncarry
143.0,Ethiopia,ETH,1066.16,1068.48,CAF,2024-06-20,kaggle_cashncarry
144.0,Turkmenistan,TKM,1065.42,1072.52,AFC,2024-06-20,kaggle_cashncarry
145.0,Botswana,BOT,1064.19,1065.07,CAF,2024-06-20,kaggle_cashncarry
146.0,St Kitts and Nevis,SKN,1059.53,1056.61,CONCACAF,2024-06-20,kaggle_cashncarry
147.0,Philippines,PHI,1053.03,1075.14,AFC,2024-06-20,kaggle_cashncarry
148.0,Antigua and Barbuda,ATG,1052.8,1072.66,CONCACAF,2024-06-20,kaggle_cashncarry
149.0,Lesotho,LES,1050.83,1047.58,CAF,2024-06-20,kaggle_cashncarry
150.0,Dominican Republic,DOM,1045.64,1042.86,CONCACAF,2024-06-20,kaggle_cashncarry
151.0,Afghanistan,AFG,1034.37,1036.92,AFC,2024-06-20,kaggle_cashncarry
152.0,Moldova,MDA,1033.75,1028.85,UEFA,2024-06-20,kaggle_cashncarry
153.0,Guyana,GUY,1026.61,1020.31,CONCACAF,2024-06-20,kaggle_cashncarry
154.0,Eswatini,SWZ,1025.18,1048.89,CAF,2024-06-20,kaggle_cashncarry
155.0,Yemen,YEM,1021.24,1017.05,AFC,2024-06-20,kaggle_cashncarry
156.0,Puerto Rico,PUR,1020.22,1006.35,CONCACAF,2024-06-20,kaggle_cashncarry
157.0,Hong Kong,HKG,1011.91,1012.83,AFC,2024-06-20,kaggle_cashncarry
158.0,New Caledonia,NCL,1008.92,1008.92,OFC,2024-06-20,kaggle_cashncarry
159.0,Singapore,SGP,1008.26,1019.06,AFC,2024-06-20,kaggle_cashncarry
160.0,Maldives,MDV,1003.48,1003.48,AFC,2024-06-20,kaggle_cashncarry
161.0,Tahiti,TAH,999.48,999.48,OFC,2024-06-20,kaggle_cashncarry
